"","bowl","runs","outs","balls","strikeRate","bowlsr"
"1","Amit Mishra",1806,68,1449,1.2463768115942,21.3088235294118
"2","Axar Patel",2895,94,2391,1.2107904642409,25.436170212766
"3","Glenn Maxwell",966,29,746,1.29490616621984,25.7241379310345
"4","Harbhajan Singh",1721,58,1380,1.24710144927536,23.7931034482759
"5","Imran Tahir",1503,73,1196,1.2566889632107,16.3835616438356
"6","Karn Sharma",1155,39,796,1.45100502512563,20.4102564102564
"7","Krishnappa Gowtham",727,20,546,1.33150183150183,27.3
"8","Krunal Pandya",2247,65,1891,1.18826017979905,29.0923076923077
"9","Kuldeep Yadav",1894,68,1423,1.33099086437105,20.9264705882353
"10","Maheesh Theekshana",646,23,504,1.28174603174603,21.9130434782609
"11","Mayank Markande",802,29,588,1.36394557823129,20.2758620689655
"12","Moeen Ali",787,29,687,1.14556040756914,23.6896551724138
"13","Murugan Ashwin",1123,35,866,1.29676674364896,24.7428571428571
"14","Pawan Negi",671,28,518,1.2953667953668,18.5
"15","Piyush Chawla",2206,78,1597,1.38134001252348,20.474358974359
"16","Rahul Chahar",1783,64,1442,1.23647711511789,22.53125
"17","Rahul Tewatia",1032,30,791,1.30467762326169,26.3666666666667
"18","Rashid Khan",2783,134,2549,1.09180070615928,19.0223880597015
"19","Ravi Bishnoi",1341,47,1082,1.23937153419593,23.0212765957447
"20","Ravichandran Ashwin",2780,86,2333,1.19159879982855,27.1279069767442
"21","Ravindra Jadeja",2896,93,2320,1.24827586206897,24.9462365591398
"22","Shahbaz Nadeem",744,19,542,1.37269372693727,28.5263157894737
"23","Shakib Al Hasan",1118,29,851,1.31374853113984,29.3448275862069
"24","Shreyas Gopal",1162,43,866,1.34180138568129,20.1395348837209
"25","Sunil Narine",2995,93,2576,1.16265527950311,27.6989247311828
"26","Varun Chakravarthy",1530,56,1248,1.22596153846154,22.2857142857143
"27","Wanindu Hasaranga de Silva",690,33,528,1.30681818181818,16
"28","Washington Sundar",1195,36,1002,1.19261477045908,27.8333333333333
"29","Yuzvendra Chahal",3450,164,2755,1.25226860254083,16.7987804878049
