batting_team,batsman_is_rhb,non_striker_id,non_striker_name,non_striker_is_rhb,bowling_team,bowler_is_rhb,delivery_type,innings,ball,over,shot_is_attacked,shot_is_played,bounce_angle,bounce_pos_x,bounce_pos_y,boucne_pos_z,crease_pos_x,crease_pos_y,crease_pos_z,deviation,drop_angle,hit_stumps,impact_pos_x,impact_pos_y,impact_pos_z,initial_angle,landing_pos_x,landing_pos_y,landing_pos_z,pbr,react_time_to_crease,react_time_to_intercept,real_distance,release_pos_x,release_pos_y,release_pos_z,release_speed,spin_rate,stump_pos_x,stump_pos_y,stump_pos_z,swing,match_id,batsman_id,batsman_name,bowler_id,bowler_name,ball_id,is_single,is_double,is_three,is_dot,is_wide,is_no_ball,is_bye,is_leg_bye,is_four,is_six,is_wicket,wicket_type,is_bowler_wicket,ball_type,shot_type,pitch_x,pitch_y,ball_line,ball_length,runs,actual_runs,extras,ball_runs,is_bouncer,is_free_hit,innings_no,ground,date
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1046,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2023-05-29
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1046,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,True,Seam,1,6,3,Attacked,Missed,9.445468535808802,11.807556,-0.407385,0,-8.840797,0.028053,1.083446,-0.4162756722498773,-17.22564638078093,None,-8.3996,0.0112,1.071503,-12.23887310938905,0,0,-999.900024,75.34300895078533,0.631381988525391,0.5855941772460938,0,8.340906085304951,-0.7198114863899486,1.775174850127998,72.17396961479558,0,-10.06001417230351,0.07397215714106156,1.100891084247756,0.424861633819293,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327450,0,0,0,1,0,0,0,0,0,0,0,,0,SLOWER BALL,BACKFOOT PULL SHOT,17.21,-19.01,Outside Off stump,Short of Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,13073943094298,HARDIK PANDYA,True,CHENNAI-SUPER-KINGS,True,Spin,1,6,15,Defended,Played,9.248792254874283,6.413877,-0.188229,0,-8.840847,-0.087574,0.607478,-1.155783249496306,-13.33656220537472,None,-8.413865,-0.096013,0.584453,-4.956690224431987,0,0,-999.900024,70.0810964104458,0.719753265380859,0.6803627014160156,0,8.340757013940102,-0.6351608294712224,1.95310106592086,61.21814972697256,0,-10.06004446911305,-0.06331128681056855,0.6495866196577764,0.2077254204575184,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,327524,0,0,0,1,0,0,0,0,0,0,0,,0,CARROM BALL,FORWARD DEFENCE,-46.31,33.61,Leg stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Seam,1,2,2,Attacked,Played,7.259349363007967,7.313187,-0.124545,0,-8.841104,0.124032,0.630251,-0.3142576288416455,-11.48985597740273,None,-8.098508,0.093097,0.578853,-7.900468094474776,81,116,0,75.19779048914536,0.538719177246094,0.4821624755859375,0,8.340693188769041,-0.5881143477183284,1.921488442176555,81.50000000000009,0,-10.06024064356115,0.1752230873299233,0.7014414242208169,0.3882991270702691,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,327440,1,0,0,0,0,0,0,0,0,0,0,,0,ANGLED IN,FRONTFOOT ON DRIVE,131.46,65.85,Outside Off stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,5,14,Defended,Played,11.39251643628425,12.286231,0.720697,0,-8.841046,0.648167,1.197401,3.481785123864791,-17.09935140458889,None,-8.537613,0.650259,1.198805,-14.09982452091804,10,76,0,46.83596127954801,4.15956115722656,0.6626129150390625,0,8.340553382691422,1.137526725258845,1.770251003207996,67.79999999999993,0,-10.0598959294254,0.6397008340902312,1.171064262589299,0.1188466755756254,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327517,1,0,0,0,0,0,0,0,0,0,0,,0,SLOW BOUNCER,BACKFOOT DEFENCE,77.42,49.26,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13293905321121,SAI SUDHARSAN,False,CHENNAI-SUPER-KINGS,False,Spin,1,1,9,Attacked,Played,10.1471727590284,5.405981,-0.067191,0,-8.840617,-0.056855,0.596708,-3.788027256203441,-14.52219123327265,None,-8.966696,-0.056537,0.606585,-3.78603481447455,-54,-155,0,54.50503498193198,0.711708068847656,0.6981239318847656,0,8.340760122538793,-0.7757618510959248,2.105798280941384,62.45873732108853,0,-10.06012730437261,-0.05377106041669014,0.6753685537525231,1.544018784732351,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327481,0,0,0,0,0,0,0,0,1,0,0,,0,ORTHODOX,CUT SHOT,-155.35,-61.20,Leg stump,Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,3,12,Attacked,Played,6.088812077349042,5.90854,0.368235,0,-8.841188,0.525804,0.464463,0.3094603948631622,-8.523297226588005,None,-8.766825,0.523261,0.459234,-4.705607455659949,-61,190,0,102.1287859009982,0.467697143554688,0.4522933959960938,0,8.34052260171244,0.1907512851149766,1.480472371935764,91.1935130711173,0,-10.06034420707842,0.5676883290739939,0.5436255568576338,1.469089527759945,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2022-100mb00000001014-1f0cfb3dc17911,Matheesha Pathirana,327501,0,0,0,0,0,0,0,0,1,0,0,,0,ANGLED ACROSS,FRONTFOOT SQUARE DRIVE,133.36,-83.96,Outside Off stump,Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Spin,1,6,7,Defended,Missed,9.76462274904713,5.521703,-0.23251,0,-8.841016,-0.320726,0.584394,-3.984216480936341,-14.08420570059988,None,-999.9,-999.9,-999.9,-4.464566203827353,0,0,-999.900024,52.16988160213295,0.702323913574219,0.74395751953125,0,8.340753236767942,-0.7612206988351832,2.121595663743658,63.31367847213092,0,-10.05989632318173,-0.3463320761443341,0.6542927215479853,0.9218121526428911,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327474,0,0,0,1,0,0,0,0,0,0,1,Stumped,1,ORTHODOX,FORWARD PUSH,50.40,46.41,Off stump,Good Length,0,0,0,W,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Spin,1,3,11,Attacked,Played,9.93068909498046,6.668505,0.036166,0,-8.840853,0.100183,0.701914,-2.936864369529018,-14.01067712917407,None,-7.840177,0.0882,0.631455,-5.929493504104474,11,-122,0,61.26987525350707,0.694656372070312,0.6308784484863281,0,8.34050400048605,-0.6599649995869236,2.093722138441269,64.44055363438093,0,-10.06012643916845,0.1149264667900879,0.7567727463422332,0.3849871742046602,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327495,0,1,0,0,0,0,0,0,0,0,0,,0,ORTHODOX,SWEEP SHOT,-147.77,-5.73,Leg stump,Good Length,2,2,0,2,0,0,1,Narendra Modi Stadium,2023-05-29
