"phase","length","Pace","Slow"
"Death","Bouncer",NA,1.78571428571429
"Death","Full",NA,7.14285714285714
"Death","Full toss",12.5,1.78571428571429
"Death","Good length",1.78571428571429,17.8571428571429
"Death","Short",3.57142857142857,5.35714285714286
"Death","Short of a good length",1.78571428571429,8.92857142857143
"Death","Slot",16.0714285714286,5.35714285714286
"Death","Yorker",7.14285714285714,8.92857142857143
"Early Middle","Full",9.09090909090909,NA
"Early Middle","Good length",9.09090909090909,9.09090909090909
"Early Middle","Short",NA,18.1818181818182
"Early Middle","Short of a good length",18.1818181818182,9.09090909090909
"Early Middle","Slot",18.1818181818182,NA
"Early Middle","Yorker",9.09090909090909,NA
"Late Middle","Full",NA,10.5263157894737
"Late Middle","Full toss",7.89473684210526,2.63157894736842
"Late Middle","Good length",13.1578947368421,2.63157894736842
"Late Middle","Short of a good length",13.1578947368421,15.7894736842105
"Late Middle","Slot",13.1578947368421,7.89473684210526
"Late Middle","Yorker",13.1578947368421,NA
