"","Batting team","Role","Entry over"
"1","Afghanistan",3,9.11764705882353
"2","Afghanistan",4,18.7058823529412
"3","Afghanistan",5,25.2903225806452
"4","Afghanistan",6,31
"5","Afghanistan",7,34.9230769230769
"6","Afghanistan",8,36.2272727272727
"7","Afghanistan",9,38.6190476190476
"8","Afghanistan",10,41.2857142857143
"9","Afghanistan",11,42.2222222222222
"10","Australia",3,7.57142857142857
"11","Australia",4,13.3265306122449
"12","Australia",5,21.3617021276596
"13","Australia",6,27.1276595744681
"14","Australia",7,31.2222222222222
"15","Australia",8,36.6341463414634
"16","Australia",9,39.4473684210526
"17","Australia",10,41.3333333333333
"18","Australia",11,42.92
"19","Bangladesh",3,6.89830508474576
"20","Bangladesh",4,11.5964912280702
"21","Bangladesh",5,18.75
"22","Bangladesh",6,24.7777777777778
"23","Bangladesh",7,32.24
"24","Bangladesh",8,36.0208333333333
"25","Bangladesh",9,40.219512195122
"26","Bangladesh",10,42.6111111111111
"27","Bangladesh",11,43.8620689655172
"28","England",3,6.5531914893617
"29","England",4,11.3260869565217
"30","England",5,17.7727272727273
"31","England",6,24.1590909090909
"32","England",7,29.4871794871795
"33","England",8,33.7631578947368
"34","England",9,38.0277777777778
"35","England",10,39.9310344827586
"36","England",11,42.68
"37","India",3,9.44776119402985
"38","India",4,16.5671641791045
"39","India",5,22.625
"40","India",6,30.5254237288136
"41","India",7,36.3396226415094
"42","India",8,40.780487804878
"43","India",9,42.8333333333333
"44","India",10,44.8666666666667
"45","India",11,45.8636363636364
"46","New Zealand",3,7.03846153846154
"47","New Zealand",4,15.6
"48","New Zealand",5,22.4468085106383
"49","New Zealand",6,28.8837209302326
"50","New Zealand",7,33.9523809523809
"51","New Zealand",8,37.25
"52","New Zealand",9,40.6451612903226
"53","New Zealand",10,42.2142857142857
"54","New Zealand",11,44.1666666666667
"55","Pakistan",3,7.95238095238095
"56","Pakistan",4,17.45
"57","Pakistan",5,26.15
"58","Pakistan",6,31.7222222222222
"59","Pakistan",7,36.2424242424242
"60","Pakistan",8,39.7333333333333
"61","Pakistan",9,42.1923076923077
"62","Pakistan",10,43.5
"63","Pakistan",11,45.0588235294118
"64","South Africa",3,7.95454545454545
"65","South Africa",4,16.8409090909091
"66","South Africa",5,24.2619047619048
"67","South Africa",6,30.175
"68","South Africa",7,35.6857142857143
"69","South Africa",8,38.2068965517241
"70","South Africa",9,39.2083333333333
"71","South Africa",10,38.6842105263158
"72","South Africa",11,39.6470588235294
"73","Sri Lanka",3,7.72131147540984
"74","Sri Lanka",4,13.0847457627119
"75","Sri Lanka",5,19.3508771929825
"76","Sri Lanka",6,26.4181818181818
"77","Sri Lanka",7,31.5818181818182
"78","Sri Lanka",8,35.4230769230769
"79","Sri Lanka",9,38.1063829787234
"80","Sri Lanka",10,41.1111111111111
"81","Sri Lanka",11,43.3243243243243
"82","West Indies",3,8.36363636363636
"83","West Indies",4,14.9454545454545
"84","West Indies",5,19.9245283018868
"85","West Indies",6,24.9591836734694
"86","West Indies",7,29.8125
"87","West Indies",8,31.825
"88","West Indies",9,34.1428571428571
"89","West Indies",10,36.78125
"90","West Indies",11,39.2758620689655
"91","Zimbabwe",3,5.89189189189189
"92","Zimbabwe",4,11.6216216216216
"93","Zimbabwe",5,17.8333333333333
"94","Zimbabwe",6,24.2571428571429
"95","Zimbabwe",7,31.0882352941176
"96","Zimbabwe",8,35.1875
"97","Zimbabwe",9,36.8
"98","Zimbabwe",10,39.0769230769231
"99","Zimbabwe",11,41.304347826087
