Year,Type,Six Rate,Four Rate,Running Rate,Strike Rate
2005,SL,,,,
2006,SL,17.91044776,47.76119403,51.11940299,116.7910448
2007,SL,27.13567839,47.57118928,55.61139028,130.318258
2008,SL,15.85903084,35.24229075,54.62555066,105.7268722
2009,SL,15.07731959,55.67010309,55.99226804,126.7396907
2010,SL,21.36498516,37.58654797,52.62116716,111.5727003
2011,SL,10.38961039,58.00865801,57.14285714,125.5411255
2012,SL,11.59153634,44.89420423,54.27782889,110.7635695
2013,SL,19.96197719,47.52851711,56.84410646,124.3346008
2014,SL,22.6993865,47.44376278,55.4192229,125.5623722
2015,SL,28.63070539,44.81327801,59.54356846,132.9875519
2016,SL,19.32418163,37.3812038,51.42555438,108.1309398
2017,SL,21.72601086,45.14182257,55.03922752,121.907061
2018,SL,37.70672547,50.27563396,52.26019846,140.2425579
2019,SL,21.82539683,38.0952381,56.74603175,116.6666667
2020,SL,21.28603104,46.11973392,52.32815965,119.7339246
2021,SL,17.0963365,33.46901854,58.16372682,108.7290819
2022,SL,22.21460405,39.35550223,55.94789167,117.5179979
2023,SL,43.95604396,37.60683761,47.37484737,128.9377289
2024,SL,24.68652038,50.94043887,51.76332288,127.3902821
2025,SL,27.85185185,41.08641975,56.09876543,125.037037
2026,SL,29.21348315,49.73782772,55.35580524,134.3071161
2005,Global,22.94117647,51.17647059,52.94117647,127.0588235
2006,Global,19.6056338,48.90140845,49.35211268,117.8591549
2007,Global,28.19126819,44.90644491,53.61053361,126.7082467
2008,Global,22.32223222,38.52385239,50.2250225,111.0711071
2009,Global,22.04494382,41.93258427,57.97752809,121.9550562
2010,Global,23.26293729,36.6596808,54.42527809,114.3478962
2011,Global,22.01086957,38.04347826,54.95923913,115.013587
2012,Global,24.95731166,42.64736015,53.53459463,121.1392664
2013,Global,27.73509934,45.40397351,54.52980132,127.6688742
2014,Global,25.00723589,42.79787747,51.87650748,119.6816208
2015,Global,26.61202844,43.43738701,56.12872122,126.1781367
2016,Global,28.1801894,45.02175582,53.89045303,127.0923983
2017,Global,30.68504683,43.60728191,55.5087867,129.8011154
2018,Global,33.36336723,44.63894967,53.23722487,131.2395418
2019,Global,33.48601226,44.4507082,54.66140512,132.5981256
2020,Global,34.79517078,46.18718399,56.29965948,137.2820142
2021,Global,28.48470131,40.79650316,53.92990125,123.2111057
2022,Global,30.28037383,44.88651535,55.16021362,130.3271028
2023,Global,36.63905325,45.11242604,51.39053254,133.1420118
2024,Global,36.64400471,44.96942535,50.07026473,131.6836948
2025,Global,38.54257033,44.71433883,52.27826662,135.5351758
2026,Global,44.04514673,51.25056433,53.00225734,148.2979684
