"Year","Runs","SL","Global"
2005,"Six Rate",NA,22.94117647
2005,"Four Rate",NA,51.17647059
2005,"Running Rate",NA,52.94117647
2005,"Strike Rate",NA,127.0588235
2006,"Six Rate",17.91044776,19.6056338
2006,"Four Rate",47.76119403,48.90140845
2006,"Running Rate",51.11940299,49.35211268
2006,"Strike Rate",116.7910448,117.8591549
2007,"Six Rate",27.13567839,28.19126819
2007,"Four Rate",47.57118928,44.90644491
2007,"Running Rate",55.61139028,53.61053361
2007,"Strike Rate",130.318258,126.7082467
2008,"Six Rate",15.85903084,22.32223222
2008,"Four Rate",35.24229075,38.52385239
2008,"Running Rate",54.62555066,50.2250225
2008,"Strike Rate",105.7268722,111.0711071
2009,"Six Rate",15.07731959,22.04494382
2009,"Four Rate",55.67010309,41.93258427
2009,"Running Rate",55.99226804,57.97752809
2009,"Strike Rate",126.7396907,121.9550562
2010,"Six Rate",21.36498516,23.26293729
2010,"Four Rate",37.58654797,36.6596808
2010,"Running Rate",52.62116716,54.42527809
2010,"Strike Rate",111.5727003,114.3478962
2011,"Six Rate",10.38961039,22.01086957
2011,"Four Rate",58.00865801,38.04347826
2011,"Running Rate",57.14285714,54.95923913
2011,"Strike Rate",125.5411255,115.013587
2012,"Six Rate",11.59153634,24.95731166
2012,"Four Rate",44.89420423,42.64736015
2012,"Running Rate",54.27782889,53.53459463
2012,"Strike Rate",110.7635695,121.1392664
2013,"Six Rate",19.96197719,27.73509934
2013,"Four Rate",47.52851711,45.40397351
2013,"Running Rate",56.84410646,54.52980132
2013,"Strike Rate",124.3346008,127.6688742
2014,"Six Rate",22.6993865,25.00723589
2014,"Four Rate",47.44376278,42.79787747
2014,"Running Rate",55.4192229,51.87650748
2014,"Strike Rate",125.5623722,119.6816208
2015,"Six Rate",28.63070539,26.61202844
2015,"Four Rate",44.81327801,43.43738701
2015,"Running Rate",59.54356846,56.12872122
2015,"Strike Rate",132.9875519,126.1781367
2016,"Six Rate",19.32418163,28.1801894
2016,"Four Rate",37.3812038,45.02175582
2016,"Running Rate",51.42555438,53.89045303
2016,"Strike Rate",108.1309398,127.0923983
2017,"Six Rate",21.72601086,30.68504683
2017,"Four Rate",45.14182257,43.60728191
2017,"Running Rate",55.03922752,55.5087867
2017,"Strike Rate",121.907061,129.8011154
2018,"Six Rate",37.70672547,33.36336723
2018,"Four Rate",50.27563396,44.63894967
2018,"Running Rate",52.26019846,53.23722487
2018,"Strike Rate",140.2425579,131.2395418
2019,"Six Rate",21.82539683,33.48601226
2019,"Four Rate",38.0952381,44.4507082
2019,"Running Rate",56.74603175,54.66140512
2019,"Strike Rate",116.6666667,132.5981256
2020,"Six Rate",21.28603104,34.79517078
2020,"Four Rate",46.11973392,46.18718399
2020,"Running Rate",52.32815965,56.29965948
2020,"Strike Rate",119.7339246,137.2820142
2021,"Six Rate",17.0963365,28.48470131
2021,"Four Rate",33.46901854,40.79650316
2021,"Running Rate",58.16372682,53.92990125
2021,"Strike Rate",108.7290819,123.2111057
2022,"Six Rate",22.21460405,30.28037383
2022,"Four Rate",39.35550223,44.88651535
2022,"Running Rate",55.94789167,55.16021362
2022,"Strike Rate",117.5179979,130.3271028
2023,"Six Rate",43.95604396,36.63905325
2023,"Four Rate",37.60683761,45.11242604
2023,"Running Rate",47.37484737,51.39053254
2023,"Strike Rate",128.9377289,133.1420118
2024,"Six Rate",24.68652038,36.64400471
2024,"Four Rate",50.94043887,44.96942535
2024,"Running Rate",51.76332288,50.07026473
2024,"Strike Rate",127.3902821,131.6836948
2025,"Six Rate",27.85185185,38.54257033
2025,"Four Rate",41.08641975,44.71433883
2025,"Running Rate",56.09876543,52.27826662
2025,"Strike Rate",125.037037,135.5351758
2026,"Six Rate",29.21348315,44.04514673
2026,"Four Rate",49.73782772,51.25056433
2026,"Running Rate",55.35580524,53.00225734
2026,"Strike Rate",134.3071161,148.2979684
